python : import time: self [us] | cumulative | imported package
import time:      2519 |      18292 |               importlib.metadata
import time:       980 |      19271 |             pydantic.plugin._loader
import time:     35728 |     233455 |           fastapi.exceptions
import time:      1004 |       1004 |             fastapi.openapi
import time:       560 |        560 |                 fastapi.types
import time:       743 |        743 |                   shlex
import time:       498 |        498 |                   starlette.concurrency
import time:       915 |        915 |                   starlette.types
import time:      1683 |       3838 |                 starlette.datastructures
import time:       754 |       5150 |               fastapi._compat.shared
import time:       620 |        620 |                 fastapi.openapi.constants
import time:      3528 |       4147 |               fastapi._compat.v2
import time:       709 |      10005 |             fastapi._compat
import time:      1037 |       1037 |             fastapi.logger
import time:       782 |        782 |               email_validator.exceptions
import time:       702 |        702 |               email_validator.types
import time:       851 |        851 |                 unicodedata
import time:     21020 |      21020 |                   email_validator.rfc_constants
import time:      1070 |       1070 |                       idna.idnadata
import time:       586 |        586 |                       idna.intranges
import time:      2042 |       3696 |                     idna.core
import time:       620 |        620 |                     idna.package_data
import time:      1583 |       5898 |                   idna
import time:       954 |      27871 |                 email_validator.syntax
import time:       690 |      29411 |               email_validator.validate_email
import time:       512 |        512 |               email_validator.version
import time:      1259 |      32665 |             email_validator
import time:      1431 |       1431 |               email.feedparser
import time:      1952 |       3382 |             email.parser
import time:     84419 |     132509 |           fastapi.openapi.models
import time:      1116 |       1116 |           fastapi.datastructures
import time:      2996 |     370074 |         fastapi.params
import time:       703 |        703 |           fastapi.dependencies
import time:       516 |        516 |                 fastapi.security.base
import time:      1976 |       1976 |                   http.cookies
import time:        85 |         85 |                           _heapq
import time:       890 |        974 |                         heapq
import time:       729 |        729 |                         asyncio.constants
import time:       497 |        497 |                         asyncio.coroutines
import time:       545 |        545 |                           asyncio.format_helpers
import time:       538 |        538 |                             asyncio.base_futures
import time:       583 |        583 |                             asyncio.exceptions
import time:       561 |        561 |                             asyncio.base_tasks
import time:       886 |       2566 |                           _asyncio
import time:       951 |       4061 |                         asyncio.events
import time:       662 |        662 |                         asyncio.futures
import time:       895 |        895 |                         asyncio.protocols
import time:       891 |        891 |                           asyncio.transports
import time:       449 |        449 |                           asyncio.log
import time:      1312 |       2651 |                         asyncio.sslproto
import time:       456 |        456 |                             asyncio.mixins
import time:       888 |       1343 |                           asyncio.locks
import time:      1231 |       1231 |                             asyncio.timeouts
import time:       974 |       2205 |                           asyncio.tasks
import time:       690 |       4238 |                         asyncio.staggered
import time:       684 |        684 |                         asyncio.trsock
import time:      3074 |      18463 |                       asyncio.base_events
import time:       765 |        765 |                       asyncio.runners
import time:       704 |        704 |                       asyncio.queues
import time:       762 |        762 |                       asyncio.streams
import time:       720 |        720 |                       asyncio.subprocess
import time:       705 |        705 |                       asyncio.taskgroups
import time:       472 |        472 |                       asyncio.threads
import time:      1385 |       1385 |                         _overlapped
import time:       994 |        994 |                         asyncio.base_subprocess
import time:      1056 |       1056 |                         asyncio.proactor_events
import time:      1024 |       1024 |                         asyncio.selector_events
import time:       592 |        592 |                         asyncio.windows_utils
import time:      1020 |       6068 |                       asyncio.windows_events
import time:       894 |      29549 |                     asyncio
import time:       951 |      30499 |                   starlette._utils
import time:       695 |        695 |                           python_multipart.exceptions
import time:       732 |       1426 |                         python_multipart.decoders
import time:      1889 |       3314 |                       python_multipart.multipart
import time:       619 |       3933 |                     python_multipart
import time:      1453 |       5385 |                   starlette.formparsers
import time:       854 |      38713 |                 starlette.requests
import time:       959 |      40187 |               fastapi.security.api_key
import time:       492 |        492 |                 fastapi.security.utils
import time:      1880 |       2371 |               fastapi.security.http
import time:      1675 |       1675 |                 fastapi.param_functions
import time:      1733 |       3407 |               fastapi.security.oauth2
import time:       993 |        993 |               fastapi.security.open_id_connect_url
import time:       555 |      47511 |             fastapi.security
import time:        47 |      47558 |           fastapi.security.base
import time:      2353 |      50613 |         fastapi.dependencies.models
import time:       538 |        538 |             starlette.background
import time:       686 |       1223 |           fastapi.background
import time:       537 |        537 |           fastapi.concurrency
import time:      1307 |       1307 |           fastapi.utils
import time:      2667 |       2667 |               _hashlib
import time:        98 |         98 |               _blake2
import time:      1476 |       4240 |             hashlib
import time:      1029 |       1029 |             mimetypes
import time:       651 |        651 |               hmac
import time:       768 |       1419 |             secrets
import time:      2137 |       8824 |           starlette.responses
import time:      1056 |       1056 |           starlette.websockets
import time:      2366 |      15310 |         fastapi.dependencies.utils
import time:       770 |        770 |             colorsys
import time:      1153 |       1922 |           pydantic.color
import time:       280 |        280 |             pydantic_extra_types
import time:        28 |        308 |           pydantic_extra_types.color
import time:      1019 |       3248 |         fastapi.encoders
import time:      1829 |       1829 |         fastapi.sse
import time:       553 |        553 |           starlette._exception_handler
import time:       727 |        727 |           starlette.convertors
import time:       727 |        727 |           starlette.middleware
import time:      1255 |       3261 |         starlette.routing
import time:       733 |        733 |         starlette.staticfiles
